,Delta,Gamma,IV,Last,Last Trade,Open Int,Rho,Strike,Theoretical,Theta,Type,Vega,Volume
0,1.00000,0.00000,24.11%,10.30,09/13/19,125,0.03343,10.00,9.46,-0.00064,Call,0.00000,7
1,1.00000,0.00001,22.57%,7.90,06/26/19,2,0.03677,11.00,8.47,-0.00071,Call,0.00000,1
2,0.99880,0.00125,28.43%,N/A,N/A,N/A,0.04003,12.00,7.48,-0.00082,Call,0.00045,N/A
3,0.92872,0.02261,53.51%,7.40,09/13/19,27,0.03808,13.00,6.70,-0.00407,Call,0.01532,10
4,0.93125,0.02795,42.11%,3.98,08/28/19,11,0.04178,14.00,5.65,-0.00335,Call,0.01490,1
5,0.84566,0.04016,52.59%,4.40,09/05/19,131,0.03821,15.00,5.05,-0.00645,Call,0.02673,1
6,0.78825,0.04834,53.25%,4.70,09/13/19,25,0.03682,16.00,4.35,-0.00776,Call,0.03258,1
7,0.73265,0.05792,50.49%,3.60,09/16/19,188,0.03572,17.00,3.60,-0.00828,Call,0.03701,10
8,0.66355,0.06241,51.97%,3.45,09/13/19,46,0.03297,18.00,3.08,-0.00931,Call,0.04106,1
9,0.59557,0.06752,51.00%,2.85,09/13/19,59,0.03039,19.00,2.53,-0.00962,Call,0.04359,13
10,0.52837,0.06859,51.57%,2.11,09/16/19,443,0.02740,20.00,2.11,-0.00991,Call,0.04477,16
11,0.46277,0.06875,51.35%,2.20,09/13/19,65,0.02441,21.00,1.73,-0.00980,Call,0.04469,6
12,0.40538,0.06587,52.31%,1.45,09/16/19,443,0.02159,22.00,1.45,-0.00969,Call,0.04361,8
13,0.33975,0.06473,50.30%,1.15,09/13/19,73,0.01848,23.00,1.10,-0.00878,Call,0.04121,20
14,0.31153,0.05760,54.56%,1.05,09/16/19,201,0.01681,24.00,1.05,-0.00915,Call,0.03978,12
15,0.24128,0.05529,50.12%,0.75,09/13/19,"1,319",0.01340,25.00,0.70,-0.00740,Call,0.03508,20
16,0.19997,0.04985,49.91%,0.85,08/06/19,51,0.01121,26.00,0.55,-0.00661,Call,0.03149,12
17,0.16885,0.04440,50.44%,0.25,08/26/19,223,0.00951,27.00,0.45,-0.00600,Call,0.02835,1
18,0.13791,0.03901,50.19%,1.10,08/01/19,182,0.00783,28.00,0.35,-0.00521,Call,0.02479,20
19,0.11290,0.03395,50.16%,1.15,08/01/19,85,0.00645,29.00,0.28,-0.00452,Call,0.02155,85
0,-0.03386,0.00939,71.20%,0.07,08/01/19,87,-0.00263,10.00,0.13,-0.00240,Put,0.00846,10
1,-0.04339,0.01260,64.91%,0.20,09/05/19,26,-0.00334,11.00,0.15,-0.00267,Put,0.01036,1
2,-0.06350,0.01773,62.42%,0.28,09/05/19,21,-0.00491,12.00,0.23,-0.00346,Put,0.01401,1
3,-0.08568,0.02376,58.57%,0.33,09/13/19,153,-0.00661,13.00,0.30,-0.00407,Put,0.01761,2
4,-0.12151,0.03129,57.33%,0.40,09/13/19,232,-0.00945,14.00,0.45,-0.00511,Put,0.02270,5
5,-0.16536,0.03930,56.22%,0.65,09/13/19,277,-0.01299,15.00,0.65,-0.00614,Put,0.02797,2
6,-0.21625,0.04738,55.00%,1.10,09/05/19,245,-0.01716,16.00,0.90,-0.00704,Put,0.03298,1
7,-0.27344,0.05520,53.58%,1.20,09/16/19,311,-0.02190,17.00,1.20,-0.00773,Put,0.03743,101
8,-0.33739,0.06110,53.14%,1.49,09/13/19,108,-0.02743,18.00,1.60,-0.00835,Put,0.04110,2
9,-0.40388,0.06583,52.29%,1.80,09/13/19,58,-0.03328,19.00,2.05,-0.00862,Put,0.04357,1
10,-0.47147,0.06847,51.66%,2.51,09/13/19,210,-0.03947,20.00,2.58,-0.00864,Put,0.04477,5
11,-0.53914,0.06957,50.73%,5.01,08/28/19,112,-0.04583,21.00,3.15,-0.00833,Put,0.04467,100
12,-0.59883,0.06702,51.28%,3.60,07/24/19,21,-0.05208,22.00,3.85,-0.00806,Put,0.04350,3
13,-0.65864,0.06445,50.61%,N/A,N/A,N/A,-0.05835,23.00,4.55,-0.00737,Put,0.04128,N/A
14,-0.70634,0.05969,51.27%,6.41,08/20/19,110,-0.06416,24.00,5.35,-0.00684,Put,0.03874,100
15,-0.74533,0.05450,52.34%,6.40,08/09/19,34,-0.06957,25.00,6.20,-0.00634,Put,0.03610,1
16,-0.78332,0.04960,52.60%,N/A,N/A,N/A,-0.07491,26.00,7.05,-0.00562,Put,0.03302,N/A
17,-0.82154,0.04462,51.99%,11.15,06/03/19,52,-0.08027,27.00,7.90,-0.00466,Put,0.02936,4
18,-0.84965,0.03972,52.26%,N/A,N/A,N/A,-0.08514,28.00,8.80,-0.00394,Put,0.02627,N/A
19,-0.85441,0.03635,55.89%,N/A,N/A,N/A,-0.08882,29.00,9.80,-0.00413,Put,0.02571,N/A
