ticker,note,sec,fx,credit,como,factor,region,macro,risk,vol
DIA,,,,,,,,,,
IWM,,,,,,,,,,
QQQ,,,,,,,,,,
SPY,,1,,,,,,1,1,
XLY,,1,,,,,,,,
XLE,,1,,,,,,,,
XLF,,1,,,,,,,,
XLV,,1,,,,,,,,
XLI,,1,,,,,,,,
XLB,,1,,,,,,,,
XLK,,1,,,,,,,,
XLU,,1,,,,,,,,
XLP,,1,,,,,,,,
XRT,,1,,,,,,,,
XHB,,1,,,,,,,,
IYR,,1,,,,,,,,
IYT,,1,,,,,,,,
UUP,dollar,,1,,,,,1,,
FXC,,,1,,,,,,,
FXY,,,1,,,,,,,
FXA,,,1,,,,,,,
CYB,rmb,,1,,,,,,,
DBV,Carry trade,,1,,,,,,,
FXE,,,1,,,,,,,
WYDE,credit,,,1,,,,1,,
FLAT,curve,,,1,,,,,,
TLT,,,,1,,,,1,,
EMB,emerge bond,,,1,,,,1,,
HYG,high yield,,,1,,,,1,,
TIP,inflation,,,1,,,,1,,
DBA,,,,,1,,,,,
DBC,,,,,1,,,,,
GLD,geo risk,,,,1,,,1,,
UNG,,,,,1,,,,,
SLV,,,,,1,,,,,
JJC,infra,,,,1,,,1,,
USO,,,,,1,,,1,,
GDX,,,,,1,,,,,
VXX,,,,,,,,,,1
SPLV,low vol,,,,,1,,,,
PBP,buy write,,,,,1,,,,
QUAL,quality etf,,,,,1,,,,
SPHB,high beta,,,,,1,,,,
FXI,,,,,,,1,,,
EWZ,,,,,,,1,,,
EWW,,,,,,,1,,,
EWC,,,,,,,1,,,
EWY,,,,,,,1,,,
EWT,,,,,,,1,,,
EWJ,,,,,,,1,,,
EEM,emerging,,,,,,1,,,
EFA,developed non-US/CAN,,,,,,1,,,
ASHR,A-share,,,,,,1,,,
EWA,aus,,,,,,1,,,
VNM,,,,,,,1,,,
